Rk,Year,Tm,Lg,W,L,Finish,Playoffs,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF
2,2013,San Francisco Giants,NL West,76,86,3,,AT&T Park,3369106,41087,3rd of 15,$139845667,92,93
3,2012,San Francisco Giants,NL West,94,68,1,Won WS (4-0),AT&T Park,3377371,41696,2nd of 16,$117637350,89,89
4,2011,San Francisco Giants,NL West,86,76,2,,AT&T Park,3387303,41819,2nd of 16,$124198333,91,92
5,2010,San Francisco Giants,NL West,92,70,1,Won WS (4-1),AT&T Park,3037443,37499,5th of 16,$98641333,97,97
6,2009,San Francisco Giants,NL West,88,74,3,,AT&T Park,2862110,35335,7th of 16,$85444450,101,102
7,2008,San Francisco Giants,NL West,72,90,4,,AT&T Park,2863837,35356,7th of 16,$76594500,102,102
8,2007,San Francisco Giants,NL West,71,91,5,,AT&T Park,3223215,39793,5th of 16,$90219056,101,101
9,2006,San Francisco Giants,NL West,76,85,3,,AT&T Park,3130313,38646,4th of 16,$90056419,100,100
10,2005,San Francisco Giants,NL West,75,87,3,,SBC Park,3181023,39272,3rd of 16,$90199500,101,101
11,2004,San Francisco Giants,NL West,91,71,2,,SBC Park,3256854,39718,2nd of 16,$82019166,101,101
12,2003,San Francisco Giants,NL West,100,61,1,Lost LDS (3-1),Pacific Bell Park,3264898,40307,1st of 16,$82852167,98,99
13,2002,San Francisco Giants,NL West,95,66,2,Lost WS (4-3),Pacific Bell Park,3253203,40163,1st of 16,$78299835,94,95
14,2001,San Francisco Giants,NL West,90,72,2,,Pacific Bell Park,3311958,40888,1st of 16,$63280167,91,93
15,2000,San Francisco Giants,NL West,97,65,1,Lost LDS (3-1),Pacific Bell Park,3318800,40973,2nd of 16,$53737826,92,93
16,1999,San Francisco Giants,NL West,86,76,2,,3Com Park,2078399,25659,10th of 16,$46798057,94,94
17,1998,San Francisco Giants,NL West,89,74,2,,3Com Park,1925364,23770,10th of 16,$42738334,95,95
18,1997,San Francisco Giants,NL West,90,72,1,Lost LDS (3-0),3Com Park,1690869,20875,11th of 14,$35592378,98,98
19,1996,San Francisco Giants,NL West,68,94,4,,3Com Park,1413922,17243,13th of 14,$37144725,96,95
20,1995,San Francisco Giants,NL West,67,77,4,,Candlestick Park,1241500,17243,12th of 14,$36462777,96,95
21,1994,San Francisco Giants,NL West,55,60,2,,Candlestick Park,1704608,28410,9th of 14,$42638666,94,94
22,1993,San Francisco Giants,NL West,103,59,2,,Candlestick Park,2606354,32177,8th of 14,$35159000,96,96
23,1992,San Francisco Giants,NL West,72,90,5,,Candlestick Park,1560998,19272,11th of 12,$33163168,95,95
24,1991,San Francisco Giants,NL West,75,87,4,,Candlestick Park,1737478,21450,10th of 12,$30967666,97,96
25,1990,San Francisco Giants,NL West,85,77,3,,Candlestick Park,1975528,24389,8th of 12,$21565333,96,96
26,1989,San Francisco Giants,NL West,92,70,1,Lost WS (4-0),Candlestick Park,2059701,25428,5th of 12,$15040834,96,97
27,1988,San Francisco Giants,NL West,83,79,4,,Candlestick Park,1785297,22041,9th of 12,$12822500,95,96
28,1987,San Francisco Giants,NL West,90,72,1,Lost NLCS (4-3),Candlestick Park,1917168,23669,7th of 12,$8532500,95,96
29,1986,San Francisco Giants,NL West,83,79,3,,Candlestick Park,1528748,18873,9th of 12,$8947000,95,95
30,1985,San Francisco Giants,NL West,62,100,6,,Candlestick Park,818697,10107,11th of 12,$8221714,96,95
31,1984,San Francisco Giants,NL West,66,96,6,,Candlestick Park,1001545,12365,11th of 12,,98,97
32,1983,San Francisco Giants,NL West,79,83,5,,Candlestick Park,1251530,15451,9th of 12,,98,97
33,1982,San Francisco Giants,NL West,87,75,3,,Candlestick Park,1200948,14827,11th of 12,,99,99
34,1981,San Francisco Giants,NL West,56,55,4,,Candlestick Park,632274,11930,8th of 12,,98,98
35,1980,San Francisco Giants,NL West,75,86,5,,Candlestick Park,1096115,13532,11th of 12,,98,97
36,1979,San Francisco Giants,NL West,71,91,4,,Candlestick Park,1456402,17980,9th of 12,,94,93
37,1978,San Francisco Giants,NL West,89,73,3,,Candlestick Park,1740477,21487,4th of 12,,96,96
38,1977,San Francisco Giants,NL West,75,87,4,,Candlestick Park,700056,8643,12th of 12,,100,99
39,1976,San Francisco Giants,NL West,74,88,4,,Candlestick Park,626868,7739,12th of 12,,103,102
40,1975,San Francisco Giants,NL West,80,81,3,,Candlestick Park,522919,6456,12th of 12,,105,104
41,1974,San Francisco Giants,NL West,72,90,5,,Candlestick Park,519987,6420,12th of 12,,105,105
42,1973,San Francisco Giants,NL West,88,74,3,,Candlestick Park,834193,10299,10th of 12,,105,104
43,1972,San Francisco Giants,NL West,69,86,5,,Candlestick Park,647744,8412,12th of 12,,101,102
44,1971,San Francisco Giants,NL West,90,72,1,Lost NLCS (3-1),Candlestick Park,1106043,13655,10th of 12,,99,99
45,1970,San Francisco Giants,NL West,86,76,3,,Candlestick Park,740720,9145,10th of 12,,99,99
46,1969,San Francisco Giants,NL West,90,72,2,,Candlestick Park,873603,10785,9th of 12,,98,99
47,1968,San Francisco Giants,NL,88,74,2,,Candlestick Park,837220,10336,7th of 10,,100,101
48,1967,San Francisco Giants,NL,91,71,2,,Candlestick Park,1242480,15152,6th of 10,,99,100
49,1966,San Francisco Giants,NL,93,68,2,,Candlestick Park,1657192,20459,5th of 10,,103,104
50,1965,San Francisco Giants,NL,95,67,2,,Candlestick Park,1546075,19087,4th of 10,,102,103
51,1964,San Francisco Giants,NL,90,72,4,,Candlestick Park,1504364,18572,3rd of 10,,100,102
52,1963,San Francisco Giants,NL,88,74,3,,Candlestick Park,1571306,19399,2nd of 10,,97,99
53,1962,San Francisco Giants,NL,103,62,1,Lost WS (4-3),Candlestick Park,1592594,19422,2nd of 10,,97,99
54,1961,San Francisco Giants,NL,85,69,3,,Candlestick Park,1390679,18061,2nd of 8,,94,96
55,1960,San Francisco Giants,NL,79,75,5,,Candlestick Park,1795356,23316,2nd of 8,,93,94
56,1959,San Francisco Giants,NL,83,71,3,,Seals Stadium,1422130,18469,3rd of 8,,96,97
57,1958,San Francisco Giants,NL,80,74,3,,Seals Stadium,1272625,16528,4th of 8,,97,98
58,1957,New York Giants,NL,69,85,6,,Polo Grounds V,653923,8493,8th of 8,,101,100
59,1956,New York Giants,NL,67,87,6,,Polo Grounds V,629179,8171,8th of 8,,100,99
60,1955,New York Giants,NL,80,74,3,,Polo Grounds V,824112,10432,6th of 8,,101,101
61,1954,New York Giants,NL,97,57,1,Won WS (4-0),Polo Grounds V,1155067,15198,2nd of 8,,100,101
62,1953,New York Giants,NL,70,84,5,,Polo Grounds V,811518,10539,5th of 8,,101,103
63,1952,New York Giants,NL,92,62,2,,Polo Grounds V,984940,12791,3rd of 8,,99,101
64,1951,New York Giants,NL,98,59,1,Lost WS (4-2),Polo Grounds V,1059539,13584,2nd of 8,,99,101
65,1950,New York Giants,NL,86,68,3,,Polo Grounds V,1008878,13275,6th of 8,,99,101
66,1949,New York Giants,NL,73,81,5,,Polo Grounds V,1218446,15423,4th of 8,,99,100
67,1948,New York Giants,NL,78,76,5,,Polo Grounds V,1459269,18952,3rd of 8,,100,101
68,1947,New York Giants,NL,81,73,4,,Polo Grounds V,1600793,21063,2nd of 8,,100,101
69,1946,New York Giants,NL,61,93,8,,Polo Grounds V,1219873,15843,3rd of 8,,101,100
70,1945,New York Giants,NL,78,74,5,,Polo Grounds V,1016468,13032,3rd of 8,,102,101
71,1944,New York Giants,NL,67,87,5,,Polo Grounds V,674483,8993,1st of 8,,101,99
72,1943,New York Giants,NL,55,98,8,,Polo Grounds V,466095,6053,5th of 8,,101,100
73,1942,New York Giants,NL,85,67,3,,Polo Grounds V,779621,9869,2nd of 8,,101,101
74,1941,New York Giants,NL,74,79,5,,Polo Grounds V,763098,9783,2nd of 8,,102,102
75,1940,New York Giants,NL,72,80,6,,Polo Grounds V,747852,9840,3rd of 8,,101,101
76,1939,New York Giants,NL,77,74,5,,Polo Grounds V,702457,9493,4th of 8,,101,101
77,1938,New York Giants,NL,83,67,3,,Polo Grounds V,799633,10954,2nd of 8,,100,101
78,1937,New York Giants,NL,95,57,1,Lost WS (4-1),Polo Grounds V,926887,12358,1st of 8,,99,101
79,1936,New York Giants,NL,92,62,1,Lost WS (4-2),Polo Grounds V,837952,10743,1st of 8,,97,100
80,1935,New York Giants,NL,91,62,3,,Polo Grounds V,748748,9478,1st of 8,,96,99
81,1934,New York Giants,NL,93,60,2,,Polo Grounds V,730851,9745,1st of 8,,95,98
82,1933,New York Giants,NL,91,61,1,Won WS (4-1),Polo Grounds V,604471,7850,1st of 8,,96,99
83,1932,New York Giants,NL,72,82,6,,Polo Grounds V,484868,6297,4th of 8,,96,98
84,1931,New York Giants,NL,87,65,2,,Polo Grounds V,812163,10412,2nd of 8,,95,98
85,1930,New York Giants,NL,87,67,3,,Polo Grounds V,868714,11282,3rd of 8,,95,98
86,1929,New York Giants,NL,84,67,3,,Polo Grounds V,868806,11283,2nd of 8,,97,100
87,1928,New York Giants,NL,93,61,2,,Polo Grounds V,916191,11899,2nd of 8,,97,100
88,1927,New York Giants,NL,92,62,3,,Polo Grounds V,858190,11597,3rd of 8,,99,100
89,1926,New York Giants,NL,74,77,5,,Polo Grounds V,700362,9215,3rd of 8,,97,98
90,1925,New York Giants,NL,86,66,2,,Polo Grounds V,778993,10250,2nd of 8,,95,96
91,1924,New York Giants,NL,93,60,1,Lost WS (4-3),Polo Grounds V,844068,10962,1st of 8,,95,98
92,1923,New York Giants,NL,95,58,1,Lost WS (4-2),Polo Grounds V,820780,10659,1st of 8,,96,100
93,1922,New York Giants,NL,93,61,1,Won WS (4-0),Polo Grounds V,945809,11972,1st of 8,,98,102
94,1921,New York Giants,NL,94,59,1,Won WS (5-3),Polo Grounds V,973477,12322,1st of 8,,98,101
95,1920,New York Giants,NL,86,68,2,,Polo Grounds V,929609,11620,1st of 8,,96,100
96,1919,New York Giants,NL,87,53,2,,Polo Grounds V,708857,10273,1st of 8,,97,100
97,1918,New York Giants,NL,71,53,2,,Polo Grounds V,256618,4582,2nd of 8,,96,99
98,1917,New York Giants,NL,98,56,1,Lost WS (4-2),Polo Grounds V,500264,6253,1st of 8,,94,97
99,1916,New York Giants,NL,86,66,4,,Polo Grounds V,552056,7078,1st of 8,,93,94
100,1915,New York Giants,NL,69,83,8,,Polo Grounds V,391850,5156,2nd of 8,,94,96
101,1914,New York Giants,NL,84,70,2,,Polo Grounds V,364313,4554,2nd of 8,,95,97
102,1913,New York Giants,NL,101,51,1,Lost WS (4-1),Polo Grounds V,630000,7778,1st of 8,,98,102
103,1912,New York Giants,NL,103,48,1,Lost WS (4-3),Polo Grounds V,638000,8395,1st of 8,,100,104
104,1911,New York Giants,NL,99,54,1,Lost WS (4-2),Polo Grounds V Hilltop Park &  Polo Grounds IV,675000,9000,1st of 8,,98,102
105,1910,New York Giants,NL,91,63,2,,Polo Grounds IV,511785,6478,2nd of 8,,98,100
106,1909,New York Giants,NL,92,61,3,,Polo Grounds IV,783700,10178,1st of 8,,98,101
107,1908,New York Giants,NL,98,56,2,,Polo Grounds IV,910000,11375,1st of 8,,102,105
108,1907,New York Giants,NL,82,71,4,,Polo Grounds IV,538350,6992,1st of 8,,100,103
109,1906,New York Giants,NL,96,56,2,,Polo Grounds IV,402850,5371,2nd of 8,,99,102
110,1905,New York Giants,NL,105,48,1,Won WS (4-1),Polo Grounds IV,552700,7272,1st of 8,,98,102
111,1904,New York Giants,NL,106,47,1,,Polo Grounds IV,609826,7260,1st of 8,,99,104
112,1903,New York Giants,NL,84,55,2,,Polo Grounds IV,579530,8279,1st of 8,,103,104
113,1902,New York Giants,NL,48,88,8,,Polo Grounds IV,302875,4266,1st of 8,,100,98
114,1901,New York Giants,NL,52,85,7,,Polo Grounds IV,297650,4192,2nd of 8,,100,96
115,1900,New York Giants,NL,60,78,8,,Polo Grounds IV,190000,2676,6th of 8,,97,95
116,1899,New York Giants,NL,60,90,10,,Polo Grounds IV &  West New York Field Club Grounds,121384,1597,9th of 12,,97,97
117,1898,New York Giants,NL,77,73,7,,Polo Grounds IV &  West New York Field Club Grounds,265414,3492,4th of 12,,97,97
118,1897,New York Giants,NL,83,48,3,,Polo Grounds IV,390340,5136,1st of 12,,96,97
119,1896,New York Giants,NL,64,67,7,,Polo Grounds IV,274000,4152,4th of 12,,96,97
120,1895,New York Giants,NL,66,65,9,,Polo Grounds IV,240000,3582,6th of 12,,97,98
121,1894,New York Giants,NL,88,44,2,,Polo Grounds IV,387000,5451,1st of 12,,98,99
122,1893,New York Giants,NL,68,64,5,,Polo Grounds IV,290000,4085,2nd of 12,,99,100
123,1892,New York Giants,NL,71,80,8,,Polo Grounds IV,130566,1653,8th of 12,,98,99
124,1891,New York Giants,NL,71,61,3,,Polo Grounds IV,210568,3052,2nd of 8,,94,94
125,1890,New York Giants,NL,63,68,6,,Polo Grounds III,60667,919,6th,,96,96
126,1889,New York Giants,NL,83,43,1,Won WS (6-3),Polo Grounds III St. George Cricket Grounds &  Oakdale Park,,,,,99,103
127,1888,New York Giants,NL,84,47,1,Won WS (6-4),Polo Grounds I (Southeast Diamond),,,,,96,99
128,1887,New York Giants,NL,68,55,4,,Polo Grounds I (Southeast Diamond),,,,,93,96
129,1886,New York Giants,NL,75,44,3,,Polo Grounds I (Southeast Diamond),,,,,97,102
130,1885,New York Giants,NL,85,27,2,,Polo Grounds I (Southeast Diamond),,,,,98,100
131,1884,New York Gothams,NL,62,50,4,,Polo Grounds I (Southeast Diamond),,,,,101,104
132,1883,New York Gothams,NL,46,50,6,,Polo Grounds I (Southeast Diamond),,,,,99,99

1,2014,Baltimore Orioles,AL East,96,66,1,,Oriole Park at Camden Yards,2464473,30426,6th of 15,$105572500,100,100
2,2013,Baltimore Orioles,AL East,85,77,3,,Oriole Park at Camden Yards,2357561,29106,8th of 15,$100832000,102,103
3,2012,Baltimore Orioles,AL East,93,69,2,Lost LDS (3-2),Oriole Park at Camden Yards,2102240,25954,7th of 14,$77949000,103,102
4,2011,Baltimore Orioles,AL East,69,93,5,,Oriole Park at Camden Yards,1755461,21672,11th of 14,$88299038,103,102
5,2010,Baltimore Orioles,AL East,66,96,5,,Oriole Park at Camden Yards,1733019,21395,10th of 14,$81612500,100,99
6,2009,Baltimore Orioles,AL East,64,98,5,,Oriole Park at Camden Yards,1907163,23545,9th of 14,$69904166,102,101
7,2008,Baltimore Orioles,AL East,68,93,5,,Oriole Park at Camden Yards,1950075,24376,10th of 14,$67196246,102,101
8,2007,Baltimore Orioles,AL East,69,93,4,,Oriole Park at Camden Yards,2164822,26726,11th of 14,$93174808,102,101
9,2006,Baltimore Orioles,AL East,70,92,4,,Oriole Park at Camden Yards,2153139,26582,10th of 14,$72585582,99,99
10,2005,Baltimore Orioles,AL East,74,88,4,,Oriole Park at Camden Yards,2624740,32404,5th of 14,$73914333,99,99
11,2004,Baltimore Orioles,AL East,78,84,3,,Oriole Park at Camden Yards,2744018,33877,5th of 14,$51623333,98,98
12,2003,Baltimore Orioles,AL East,71,91,4,,Oriole Park at Camden Yards,2454523,30303,5th of 14,$73877500,99,99
13,2002,Baltimore Orioles,AL East,67,95,4,,Oriole Park at Camden Yards,2682439,33117,3rd of 14,$64493487,96,95
14,2001,Baltimore Orioles,AL East,63,98,4,,Oriole Park at Camden Yards,3094841,38686,4th of 14,$74279540,96,95
15,2000,Baltimore Orioles,AL East,74,88,4,,Oriole Park at Camden Yards,3297031,40704,2nd of 14,$82347435,96,95
16,1999,Baltimore Orioles,AL East,78,84,4,,Oriole Park at Camden Yards,3433150,42385,2nd of 14,$80805863,95,95
17,1998,Baltimore Orioles,AL East,79,83,4,,Oriole Park at Camden Yards,3684650,45490,1st of 14,$72525634,97,98
18,1997,Baltimore Orioles,AL East,98,64,1,Lost ALCS (4-2),Oriole Park at Camden Yards,3711132,45816,1st of 14,$58516400,96,97
19,1996,Baltimore Orioles,AL East,88,74,2,Lost ALCS (4-1),Oriole Park at Camden Yards,3646950,44475,1st of 14,$54599315,99,100
20,1995,Baltimore Orioles,AL East,71,73,3,,Oriole Park at Camden Yards,3098475,43034,1st of 14,$43942521,101,102
21,1994,Baltimore Orioles,AL East,63,49,2,,Oriole Park at Camden Yards,2535359,46097,2nd of 14,$38849769,104,105
22,1993,Baltimore Orioles,AL East,85,77,3,,Oriole Park at Camden Yards,3644965,45000,2nd of 14,$29096500,103,104
23,1992,Baltimore Orioles,AL East,89,73,3,,Oriole Park at Camden Yards,3567819,44047,2nd of 14,$23891667,101,101
24,1991,Baltimore Orioles,AL East,67,95,6,,Memorial Stadium,2552753,31515,5th of 14,$17519000,97,96
25,1990,Baltimore Orioles,AL East,76,85,5,,Memorial Stadium,2415189,30190,5th of 14,$10100084,97,97
26,1989,Baltimore Orioles,AL East,87,75,2,,Memorial Stadium,2535208,31299,4th of 14,$10916401,97,96
27,1988,Baltimore Orioles,AL East,54,107,7,,Memorial Stadium,1660738,20759,10th of 14,$14389075,98,97
28,1987,Baltimore Orioles,AL East,67,95,6,,Memorial Stadium,1835692,22386,9th of 14,$14250273,98,97
29,1986,Baltimore Orioles,AL East,73,89,7,,Memorial Stadium,1973176,24977,6th of 14,$13001258,99,98
30,1985,Baltimore Orioles,AL East,83,78,4,,Memorial Stadium,2132387,26326,6th of 14,$12085712,97,97
31,1984,Baltimore Orioles,AL East,85,77,5,,Memorial Stadium,2045784,25257,5th of 14,,97,97
32,1983,Baltimore Orioles,AL East,98,64,1,Won WS (4-1),Memorial Stadium,2042071,25211,5th of 14,,97,98
33,1982,Baltimore Orioles,AL East,94,68,2,,Memorial Stadium,1613031,19671,8th of 14,,99,100
34,1981,Baltimore Orioles,AL East,59,46,2,,Memorial Stadium,1024247,18623,7th of 14,,99,100
35,1980,Baltimore Orioles,AL East,100,62,2,,Memorial Stadium,1797438,22191,6th of 14,,98,99
36,1979,Baltimore Orioles,AL East,102,57,1,Lost WS (4-3),Memorial Stadium,1681009,21279,6th of 14,,95,97
37,1978,Baltimore Orioles,AL East,90,71,4,,Memorial Stadium,1051724,12984,10th of 14,,93,94
38,1977,Baltimore Orioles,AL East,97,64,2,,Memorial Stadium,1195769,14763,10th of 14,,93,94
39,1976,Baltimore Orioles,AL East,88,74,2,,Memorial Stadium,1058609,13069,6th of 12,,93,94
40,1975,Baltimore Orioles,AL East,90,69,2,,Memorial Stadium,1002157,13015,9th of 12,,93,94
41,1974,Baltimore Orioles,AL East,91,71,1,Lost ALCS (3-1),Memorial Stadium,962572,11884,8th of 12,,95,97
42,1973,Baltimore Orioles,AL East,97,65,1,Lost ALCS (3-2),Memorial Stadium,958667,11835,9th of 12,,97,99
43,1972,Baltimore Orioles,AL East,80,74,3,,Memorial Stadium,899950,11688,6th of 12,,100,103
44,1971,Baltimore Orioles,AL East,101,57,1,Lost WS (4-3),Memorial Stadium,1023037,13286,4th of 12,,97,99
45,1970,Baltimore Orioles,AL East,108,54,1,Won WS (4-1),Memorial Stadium,1057069,13050,6th of 12,,98,101
46,1969,Baltimore Orioles,AL East,109,53,1,Lost WS (4-1),Memorial Stadium,1062069,13112,5th of 12,,98,101
47,1968,Baltimore Orioles,AL,91,71,2,,Memorial Stadium,943977,11800,6th of 10,,98,100
48,1967,Baltimore Orioles,AL,76,85,6,,Memorial Stadium,955053,12403,7th of 10,,98,100
49,1966,Baltimore Orioles,AL,97,63,1,Won WS (4-0),Memorial Stadium,1203366,15232,3rd of 10,,98,99
50,1965,Baltimore Orioles,AL,94,68,3,,Memorial Stadium,781649,9894,6th of 10,,100,102
51,1964,Baltimore Orioles,AL,97,65,3,,Memorial Stadium,1116215,13612,4th of 10,,99,100
52,1963,Baltimore Orioles,AL,86,76,4,,Memorial Stadium,774343,9560,7th of 10,,95,96
53,1962,Baltimore Orioles,AL,77,85,7,,Memorial Stadium,790254,9637,6th of 10,,93,94
54,1961,Baltimore Orioles,AL,95,67,3,,Memorial Stadium,951089,11599,5th of 10,,95,96
55,1960,Baltimore Orioles,AL,89,65,2,,Memorial Stadium,1187849,15427,3rd of 8,,99,99
56,1959,Baltimore Orioles,AL,74,80,6,,Memorial Stadium,891926,11435,7th of 8,,98,97
57,1958,Baltimore Orioles,AL,74,79,6,,Memorial Stadium,829991,10641,5th of 8,,95,94
58,1957,Baltimore Orioles,AL,76,76,5,,Memorial Stadium,1029581,13371,5th of 8,,94,93
59,1956,Baltimore Orioles,AL,69,85,6,,Memorial Stadium,901201,11704,6th of 8,,93,91
60,1955,Baltimore Orioles,AL,57,97,7,,Memorial Stadium,852039,10785,7th of 8,,95,92
61,1954,Baltimore Orioles,AL,54,100,7,,Memorial Stadium,1060910,13778,5th of 8,,96,92
62,1953,St. Louis Browns,AL,54,100,8,,Busch Stadium I,297238,3860,8th of 8,,105,102
63,1952,St. Louis Browns,AL,64,90,7,,Sportsman's Park III,518796,6651,8th of 8,,106,102
64,1951,St. Louis Browns,AL,52,102,8,,Sportsman's Park III,293790,3815,8th of 8,,107,103
65,1950,St. Louis Browns,AL,58,96,7,,Sportsman's Park III,247131,3340,8th of 8,,108,104
66,1949,St. Louis Browns,AL,53,101,7,,Sportsman's Park III,270936,3519,8th of 8,,108,105
67,1948,St. Louis Browns,AL,59,94,6,,Sportsman's Park III,335564,4415,8th of 8,,106,102
68,1947,St. Louis Browns,AL,59,95,8,,Sportsman's Park III,320474,4162,8th of 8,,105,102
69,1946,St. Louis Browns,AL,66,88,7,,Sportsman's Park III,526435,6837,8th of 8,,107,105
70,1945,St. Louis Browns,AL,81,70,3,,Sportsman's Park III,482986,6355,7th of 8,,106,106
71,1944,St. Louis Browns,AL,89,65,1,Lost WS (4-2),Sportsman's Park III,508644,6606,5th of 8,,106,107
72,1943,St. Louis Browns,AL,72,80,6,,Sportsman's Park III,214392,2784,8th of 8,,102,103
73,1942,St. Louis Browns,AL,82,69,3,,Sportsman's Park III,255617,3320,8th of 8,,102,102
74,1941,St. Louis Browns,AL,70,84,6,,Sportsman's Park III,176240,2231,8th of 8,,104,103
75,1940,St. Louis Browns,AL,67,87,6,,Sportsman's Park III,239591,3112,8th of 8,,105,102
76,1939,St. Louis Browns,AL,43,111,8,,Sportsman's Park III,109159,1399,8th of 8,,105,102
77,1938,St. Louis Browns,AL,55,97,7,,Sportsman's Park III,130417,1694,8th of 8,,104,99
78,1937,St. Louis Browns,AL,46,108,8,,Sportsman's Park III,123121,1578,8th of 8,,105,100
79,1936,St. Louis Browns,AL,57,95,7,,Sportsman's Park III,93267,1211,8th of 8,,106,102
80,1935,St. Louis Browns,AL,65,87,7,,Sportsman's Park III,80922,1065,8th of 8,,107,103
81,1934,St. Louis Browns,AL,67,85,6,,Sportsman's Park III,115305,1517,8th of 8,,110,107
82,1933,St. Louis Browns,AL,55,96,8,,Sportsman's Park III,88113,1144,8th of 8,,108,105
83,1932,St. Louis Browns,AL,63,91,6,,Sportsman's Park III,112558,1501,8th of 8,,107,105
84,1931,St. Louis Browns,AL,63,91,5,,Sportsman's Park III,179126,2326,8th of 8,,105,103
85,1930,St. Louis Browns,AL,64,90,6,,Sportsman's Park III,152088,1950,8th of 8,,104,103
86,1929,St. Louis Browns,AL,79,73,4,,Sportsman's Park III,280697,3645,8th of 8,,104,103
87,1928,St. Louis Browns,AL,82,72,3,,Sportsman's Park III,339497,4409,8th of 8,,104,103
88,1927,St. Louis Browns,AL,59,94,7,,Sportsman's Park III,247879,3178,8th of 8,,105,103
89,1926,St. Louis Browns,AL,62,92,7,,Sportsman's Park III,283986,3595,8th of 8,,106,104
90,1925,St. Louis Browns,AL,82,71,3,,Sportsman's Park III,462898,5935,6th of 8,,106,105
91,1924,St. Louis Browns,AL,74,78,4,,Sportsman's Park III,533349,6838,6th of 8,,107,106
92,1923,St. Louis Browns,AL,74,78,5,,Sportsman's Park III,430296,5517,6th of 8,,105,106
93,1922,St. Louis Browns,AL,93,61,2,,Sportsman's Park III,712918,9259,3rd of 8,,103,104
94,1921,St. Louis Browns,AL,81,73,3,,Sportsman's Park III,355978,4623,6th of 8,,105,106
95,1920,St. Louis Browns,AL,76,77,4,,Sportsman's Park III,419311,5376,5th of 8,,103,102
96,1919,St. Louis Browns,AL,67,72,5,,Sportsman's Park III,349350,4991,6th of 8,,102,101
97,1918,St. Louis Browns,AL,58,64,5,,Sportsman's Park III,122076,2303,8th of 8,,97,96
98,1917,St. Louis Browns,AL,57,97,7,,Sportsman's Park III,210486,2699,7th of 8,,97,96
99,1916,St. Louis Browns,AL,79,75,5,,Sportsman's Park III,335740,4250,6th of 8,,96,94
100,1915,St. Louis Browns,AL,63,91,6,,Sportsman's Park III,150358,1978,8th of 8,,97,96
101,1914,St. Louis Browns,AL,71,82,5,,Sportsman's Park III,244714,3021,7th of 8,,98,96
102,1913,St. Louis Browns,AL,57,96,8,,Sportsman's Park III,250330,3251,8th of 8,,100,97
103,1912,St. Louis Browns,AL,53,101,7,,Sportsman's Park III,214070,2710,8th of 8,,100,96
104,1911,St. Louis Browns,AL,45,107,8,,Sportsman's Park III,207984,2666,8th of 8,,101,96
105,1910,St. Louis Browns,AL,47,107,8,,Sportsman's Park III,249889,3163,8th of 8,,98,94
106,1909,St. Louis Browns,AL,61,89,7,,Sportsman's Park III,366274,4636,6th of 8,,98,93
107,1908,St. Louis Browns,AL,83,69,4,,Sportsman's Park II,618947,7935,2nd of 8,,99,100
108,1907,St. Louis Browns,AL,69,83,6,,Sportsman's Park II,419025,5513,4th of 8,,99,99
109,1906,St. Louis Browns,AL,76,73,5,,Sportsman's Park II,389157,5120,5th of 8,,96,95
110,1905,St. Louis Browns,AL,54,99,8,,Sportsman's Park II,339112,4293,4th of 8,,96,95
111,1904,St. Louis Browns,AL,65,87,6,,Sportsman's Park II,318108,4078,5th of 8,,96,94
112,1903,St. Louis Browns,AL,65,74,6,,Sportsman's Park II,380405,5434,2nd of 8,,98,97
113,1902,St. Louis Browns,AL,78,58,2,,Sportsman's Park II,272283,3730,5th of 8,,98,98
114,1901,Milwaukee Brewers,AL,48,89,8,,Lloyd Street Grounds,139034,1986,7th of 8,,98,95

1,2014,Boston Red Sox,AL East,71,91,5,,Fenway Park,2956089,36495,3rd of 15,$152634500,101,102
2,2013,Boston Red Sox,AL East,97,65,1,Won WS (4-2),Fenway Park,2833333,34979,5th of 15,$177930500,103,103
3,2012,Boston Red Sox,AL East,69,93,5,,Fenway Park,3043003,37568,4th of 14,$110386000,103,104
4,2011,Boston Red Sox,AL East,90,72,3,,Fenway Park,3054001,37704,4th of 14,$166662475,105,105
5,2010,Boston Red Sox,AL East,89,73,3,,Fenway Park,3046445,37610,4th of 14,$164507333,105,106
6,2009,Boston Red Sox,AL East,95,67,2,Lost LDS (3-0),Fenway Park,3062699,37811,3rd of 14,$125439499,104,105
7,2008,Boston Red Sox,AL East,95,67,2,Lost ALCS (4-3),Fenway Park,3048250,37633,4th of 14,$133390035,106,107
8,2007,Boston Red Sox,AL East,96,66,1,Won WS (4-0),Fenway Park,2970755,36676,4th of 14,$143026214,105,106
9,2006,Boston Red Sox,AL East,86,76,3,,Fenway Park,2930588,36180,4th of 14,$120099824,104,105
10,2005,Boston Red Sox,AL East,95,67,2,Lost LDS (3-0),Fenway Park,2847888,35159,3rd of 14,$123505125,104,104
11,2004,Boston Red Sox,AL East,98,64,2,Won WS (4-0),Fenway Park,2837294,35028,4th of 14,$127298500,104,106
12,2003,Boston Red Sox,AL East,95,67,2,Lost ALCS (4-3),Fenway Park,2724165,33632,4th of 14,$99946500,103,105
13,2002,Boston Red Sox,AL East,93,69,2,,Fenway Park,2650862,32727,4th of 14,$108366060,102,103
14,2001,Boston Red Sox,AL East,82,79,2,,Fenway Park,2625333,32412,6th of 14,$110035833,100,101
